DIA_file	individual_id	directory
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample124.raw	F130	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample270.raw	F13	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample123.raw	F128	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample152.raw	F127	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample122.raw	F125	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample121.raw	F124	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample148.raw	F121	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample137.raw	F119	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample119.raw	F118	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample146.raw	F117	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample117.raw	F116	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample116.raw	F115	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample114.raw	F113	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample113.raw	F112	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample144.raw	F111	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample109.raw	F110	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample231.raw	F109	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample108.raw	F108	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample197.raw	F107	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample133.raw	F106	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample107.raw	F105	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample106.raw	F104	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample101.raw	F103	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample105.raw	F101	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample289.raw	F100	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample314.raw	F10	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample343.raw	F1	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample110.raw	F102	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20200218_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML334.raw	F11	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample115.raw	F114	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample346.raw	F12	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample147.raw	F120	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML300.raw	F122	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample120.raw	F123	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample151.raw	F126	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample296.raw	F129	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample301.raw	F132	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample196.raw	F134	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample128.raw	F135	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample163.raw	F138	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample191.raw	F139	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
